year,state,disability,total_6to21,hisp,aian,asian7,black,nhpi7,white,tworace,total_ethnicity,api
2010,South Carolina,Autism,3317,134,NA,50,1200,NA,1862,64,3317,50
2010,South Carolina,Traumatic brain injury,NA,7,NA,0,75,0,NA,NA,NA,0
2010,South Carolina,Developmental delay,3473,203,NA,26,1736,NA,1406,95,3473,26
2010,South Carolina,All disabilities,89206,3981,284,492,38512,39,44111,1787,89206,531
2010,South Dakota,Mental retardation,1371,61,257,16,63,NA,958,NA,1371,16
2010,South Dakota,Hearing impairments,121,12,22,NA,NA,0,80,NA,121,0
2010,South Dakota,Speech or language impairments,3420,118,506,NA,54,NA,2657,43,3420,NA
2010,South Dakota,Visual impairments,NA,NA,7,0,NA,0,29,0,NA,0
2010,South Dakota,Emotional disturbance,1099,31,175,NA,49,NA,830,10,NA,NA
2010,South Dakota,Orthopedic impairments,68,NA,6,0,NA,0,56,NA,68,0
2010,South Dakota,Other health impairments,1755,54,240,NA,75,NA,1348,24,1755,NA
2010,South Dakota,Specific learning disabilities,6170,280,1275,NA,149,NA,4367,60,6170,NA
2010,South Dakota,Deaf-blindness,NA,NA,0,0,0,0,0,0,NA,0
2010,South Dakota,Multiple disabilities,545,21,95,8,21,NA,396,NA,545,8
2010,South Dakota,Autism,639,21,61,NA,11,0,534,NA,639,0
2010,South Dakota,Traumatic brain injury,59,NA,19,NA,0,0,36,NA,59,0
2010,South Dakota,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,South Dakota,All disabilities,15288,606,2663,127,430,11,11291,160,15288,138
2010,Tennessee,Mental retardation,7511,282,12,54,2952,7,4184,20,7511,61
2010,Tennessee,Hearing impairments,1323,98,NA,28,377,NA,815,NA,1323,28
2010,Tennessee,Speech or language impairments,25851,1216,64,287,5253,11,18866,154,25851,298
2010,Tennessee,Visual impairments,669,30,0,NA,141,0,485,NA,669,0
2010,Tennessee,Emotional disturbance,3378,61,NA,14,1162,0,2120,13,NA,14
2010,Tennessee,Orthopedic impairments,710,29,NA,9,102,0,566,NA,710,9
2010,Tennessee,Other health impairments,12593,246,NA,53,2653,NA,9524,81,12593,53
2010,Tennessee,Specific learning disabilities,43426,1968,99,175,13051,NA,27945,180,NA,175
2010,Tennessee,Deaf-blindness,9,0,0,0,NA,0,5,0,NA,0
2010,Tennessee,Multiple disabilities,1999,76,NA,18,476,NA,1415,8,1999,18
2010,Tennessee,Autism,5342,191,NA,84,950,NA,4077,25,5342,84
2010,Tennessee,Traumatic brain injury,275,9,NA,NA,NA,0,199,NA,275,0
2010,Tennessee,Developmental delay,4081,235,NA,58,1215,NA,2537,25,4081,58
2010,Tennessee,All disabilities,107167,4441,246,793,28396,37,72738,516,107167,830
2010,Texas,Mental retardation,31155,14974,134,588,7386,49,7699,325,31155,637
2010,Texas,Hearing impairments,6257,3289,28,187,796,12,1870,75,6257,199
2010,Texas,Speech or language impairments,61662,29119,284,1362,6905,67,22841,1084,61662,1429
2010,Texas,Visual impairments,3044,1287,22,74,452,5,1156,48,3044,79
2010,Texas,Emotional disturbance,27391,9130,166,154,5721,19,11647,554,27391,173
2010,Texas,Orthopedic impairments,3625,1786,NA,90,455,NA,1218,55,3625,90
2010,Texas,Other health impairments,51974,18984,269,505,8894,56,22295,971,51974,561
2010,Texas,Specific learning disabilities,179420,95546,1041,1176,34114,155,45288,2100,179420,1331
2010,Texas,Deaf-blindness,115,48,NA,NA,11,NA,50,NA,115,NA
2010,Texas,Multiple disabilities,5125,2188,20,109,806,10,1929,63,5125,119
2010,Texas,Autism,29478,10514,147,1376,3763,37,13030,611,29478,1413
2010,Texas,Traumatic brain injury,1279,525,NA,NA,228,NA,485,NA,1279,NA
2010,Texas,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Texas,All disabilities,400525,187390,2140,5635,69531,417,129508,5904,400525,6052
2010,Utah,Mental retardation,3212,560,71,42,93,45,2377,24,3212,87
2010,Utah,Hearing impairments,538,114,9,16,8,NA,380,NA,538,16
2010,Utah,Speech or language impairments,13011,1725,188,191,169,153,10472,113,13011,344
2010,Utah,Visual impairments,197,30,NA,7,NA,NA,151,NA,197,7
2010,Utah,Emotional disturbance,2290,274,35,21,111,19,1807,23,2290,40
2010,Utah,Orthopedic impairments,166,NA,NA,NA,NA,NA,138,NA,NA,NA
2010,Utah,Other health impairments,4689,396,34,34,140,41,3996,48,4689,75
2010,Utah,Specific learning disabilities,29740,6323,802,201,625,373,21191,225,29740,574
2010,Utah,Deaf-blindness,28,NA,0,NA,NA,0,25,0,NA,0
2010,Utah,Multiple disabilities,1615,244,31,26,38,NA,1257,NA,1615,26
2010,Utah,Autism,3649,272,31,57,44,26,3194,25,3649,83
2010,Utah,Traumatic brain injury,279,41,7,NA,NA,NA,216,NA,NA,NA
2010,Utah,Developmental delay,1874,370,47,21,26,24,1374,12,1874,45
2010,Utah,All disabilities,61288,10369,1257,622,1266,713,46578,483,61288,1335
2010,Vermont,Mental retardation,823,NA,NA,5,28,NA,783,0,NA,5
2010,Vermont,Hearing impairments,101,NA,0,0,NA,0,94,NA,NA,0
2010,Vermont,Speech or language impairments,1399,NA,NA,13,34,0,1331,NA,1399,13
2010,Vermont,Visual impairments,25,NA,0,0,NA,0,23,0,25,0
2010,Vermont,Emotional disturbance,1871,15,9,NA,41,NA,1798,6,1871,NA
2010,Vermont,Orthopedic impairments,49,NA,0,0,NA,0,47,0,NA,0
2010,Vermont,Other health impairments,2009,19,NA,7,44,NA,1928,7,2009,7
2010,Vermont,Specific learning disabilities,4048,NA,NA,12,57,NA,3930,9,NA,12
2010,Vermont,Deaf-blindness,7,0,0,NA,NA,0,NA,0,7,0
2010,Vermont,Multiple disabilities,171,5,0,NA,5,0,158,0,NA,0
2010,Vermont,Autism,782,NA,NA,9,15,0,741,NA,782,9
2010,Vermont,Traumatic brain injury,45,0,0,0,NA,0,NA,0,45,0
2010,Vermont,Developmental delay,844,7,NA,7,11,0,812,NA,844,7
2010,Vermont,All disabilities,12174,114,22,59,242,8,11693,36,12174,67
2010,Virgin Islands,Mental retardation,207,NA,0,0,164,0,NA,0,207,0
2010,Virgin Islands,Hearing impairments,13,NA,0,0,12,0,0,0,NA,0
2010,Virgin Islands,Speech or language impairments,119,NA,0,0,NA,0,10,0,119,0
2010,Virgin Islands,Visual impairments,12,NA,0,0,9,0,NA,0,NA,0
2010,Virgin Islands,Emotional disturbance,53,NA,0,0,NA,0,NA,0,53,0
2010,Virgin Islands,Orthopedic impairments,NA,0,0,0,NA,0,0,0,NA,0
2010,Virgin Islands,Other health impairments,101,20,0,0,NA,0,NA,0,NA,0
2010,Virgin Islands,Specific learning disabilities,NA,NA,0,NA,NA,NA,NA,0,NA,NA
2010,Virgin Islands,Deaf-blindness,0,0,0,0,0,0,0,0,0,0
2010,Virgin Islands,Multiple disabilities,36,NA,0,0,29,0,NA,0,36,0
2010,Virgin Islands,Autism,NA,NA,0,0,47,0,NA,0,NA,0
2010,Virgin Islands,Traumatic brain injury,NA,NA,0,NA,NA,0,0,0,NA,0
2010,Virgin Islands,Developmental delay,39,NA,0,NA,31,0,NA,0,39,0
2010,Virgin Islands,All disabilities,1263,NA,0,NA,956,NA,32,0,1263,NA
2010,Virginia,Mental retardation,10197,939,30,355,4290,7,4358,218,10197,362
2010,Virginia,Hearing impairments,1251,196,NA,82,291,NA,632,40,1251,82
2010,Virginia,Speech or language impairments,21940,2487,82,859,5031,21,12572,888,21940,880
2010,Virginia,Visual impairments,546,52,NA,33,127,0,321,NA,546,33
2010,Virginia,Emotional disturbance,9563,749,37,119,3527,6,4770,355,9563,125
2010,Virginia,Orthopedic impairments,786,87,NA,56,138,NA,478,24,786,56
2010,Virginia,Other health impairments,28366,1860,133,387,8356,29,16547,1054,28366,416
2010,Virginia,Specific learning disabilities,56913,8195,254,1378,18056,66,27177,1787,56913,1444
2010,Virginia,Deaf-blindness,25,NA,0,NA,NA,0,13,NA,25,0
2010,Virginia,Multiple disabilities,3136,235,7,92,919,6,1781,96,3136,98
2010,Virginia,Autism,10722,938,43,681,2348,16,6256,440,10722,697
2010,Virginia,Traumatic brain injury,374,NA,NA,NA,NA,NA,190,18,374,NA
2010,Virginia,Developmental delay,1438,159,NA,87,441,NA,669,73,1438,87
2010,Virginia,All disabilities,145257,15942,607,4143,43638,156,75764,5007,145257,4299
2010,Washington,Mental retardation,4600,1020,208,184,408,38,2590,152,4600,222
2010,Washington,Hearing impairments,1164,290,44,83,72,21,620,34,1164,104
2010,Washington,Speech or language impairments,17146,3320,459,893,789,157,10746,782,17146,1050
2010,Washington,Visual impairments,337,89,NA,NA,NA,NA,193,10,337,NA
2010,Washington,Emotional disturbance,4693,537,178,84,603,62,2999,230,4693,146
2010,Washington,Orthopedic impairments,491,76,11,27,28,6,331,12,491,33
2010,Washington,Other health impairments,22356,2705,647,548,1632,364,15459,1001,22356,912
2010,Washington,Specific learning disabilities,44772,11278,1699,1409,3555,NA,24499,1712,NA,1409
2010,Washington,Deaf-blindness,24,NA,NA,0,NA,0,20,0,NA,0
2010,Washington,Multiple disabilities,2619,380,78,110,178,29,1767,77,2619,139
2010,Washington,Autism,7795,791,115,557,406,169,5438,319,7795,726
2010,Washington,Traumatic brain injury,331,NA,19,NA,27,NA,183,16,331,NA
2010,Washington,Developmental delay,7375,1696,249,289,520,87,4164,370,7375,376
2010,Washington,All disabilities,113703,22256,3718,4211,8235,1559,69009,4715,113703,5770
2010,West Virginia,Mental retardation,7076,54,NA,14,406,NA,6564,27,7076,14
2010,West Virginia,Hearing impairments,404,NA,0,NA,25,0,373,0,404,0
2010,West Virginia,Speech or language impairments,11401,122,NA,60,399,NA,10720,89,11401,60
2010,West Virginia,Visual impairments,252,NA,NA,0,11,0,236,NA,252,0
2010,West Virginia,Emotional disturbance,1581,13,NA,NA,141,0,1402,17,1581,0
2010,West Virginia,Orthopedic impairments,133,NA,0,NA,7,0,122,0,133,0
2010,West Virginia,Other health impairments,4973,32,12,9,272,0,4614,34,4973,9
2010,West Virginia,Specific learning disabilities,12145,122,21,23,703,NA,11220,55,NA,23
2010,West Virginia,Deaf-blindness,9,0,0,0,0,0,NA,0,NA,0
2010,West Virginia,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,West Virginia,Autism,1313,12,NA,10,61,0,1220,NA,1313,10
2010,West Virginia,Traumatic brain injury,113,NA,0,0,18,0,NA,0,NA,0
2010,West Virginia,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,West Virginia,All disabilities,39400,364,NA,124,2043,NA,36573,234,39400,124
2010,Wisconsin,Mental retardation,9208,859,161,248,2010,NA,5838,NA,9208,248
2010,Wisconsin,Hearing impairments,1489,166,20,101,131,0,1046,25,1489,101
2010,Wisconsin,Speech or language impairments,21714,2264,404,725,1853,12,16115,341,21714,737
2010,Wisconsin,Visual impairments,418,33,NA,15,26,0,338,NA,418,15
2010,Wisconsin,Emotional disturbance,13079,730,544,NA,2460,NA,8905,362,13079,NA
2010,Wisconsin,Orthopedic impairments,868,76,13,32,105,0,633,9,868,32
2010,Wisconsin,Other health impairments,17539,1492,273,177,4877,7,10453,260,17539,184
2010,Wisconsin,Specific learning disabilities,36333,3853,780,864,5245,18,25106,467,36333,882
2010,Wisconsin,Deaf-blindness,NA,NA,0,0,0,0,NA,0,NA,0
2010,Wisconsin,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,Wisconsin,Autism,7542,438,112,201,503,5,6197,86,7542,206
2010,Wisconsin,Traumatic brain injury,393,39,NA,NA,78,0,246,13,393,0
2010,Wisconsin,Developmental delay,NA,NA,NA,NA,6,0,NA,0,NA,0
2010,Wisconsin,All disabilities,108643,9960,2318,2446,17294,50,74918,1657,108643,2496
2010,Wyoming,Mental retardation,539,65,26,NA,NA,0,431,10,539,0
2010,Wyoming,Hearing impairments,158,22,NA,NA,NA,0,126,5,158,0
2010,Wyoming,Speech or language impairments,3239,439,119,21,33,5,2580,42,3239,26
2010,Wyoming,Visual impairments,NA,5,NA,0,NA,0,43,0,NA,0
2010,Wyoming,Emotional disturbance,753,77,30,NA,22,NA,617,5,753,NA
2010,Wyoming,Orthopedic impairments,79,12,NA,NA,0,0,63,NA,79,0
2010,Wyoming,Other health impairments,1813,169,62,NA,36,NA,1508,30,1813,NA
2010,Wyoming,Specific learning disabilities,4285,620,201,NA,68,NA,3342,41,4285,NA
2010,Wyoming,Deaf-blindness,NA,0,NA,0,0,0,0,0,NA,0
2010,Wyoming,Multiple disabilities,163,17,9,NA,5,0,130,NA,163,0
2010,Wyoming,Autism,555,37,12,NA,5,NA,487,8,555,NA
2010,Wyoming,Traumatic brain injury,69,5,6,NA,0,0,56,NA,69,0
2010,Wyoming,Developmental delay,243,28,10,0,NA,0,199,NA,243,0
2010,Wyoming,All disabilities,11950,1496,484,49,181,12,9582,146,11950,61
