year,state,disability,total_6to21,hisp7,aian7,asian7,black7,nhpi7,white7,tworace7,total_ethnicity7
2011,Texas,Intellectual disabilities,32791,16241,151,651,7413,46,7907,382,32791
2011,Texas,Hearing impairments,6227,3283,26,197,784,11,1851,75,6227
2011,Texas,Speech or language impairments,62888,30501,333,1458,6853,63,22522,1158,62888
2011,Texas,Visual impairments,3087,1335,NA,71,447,NA,1157,54,3087
2011,Texas,Emotional disturbance,26206,8907,148,142,5432,22,10978,577,26206
2011,Texas,Orthopedic impairments,3532,1769,NA,89,420,NA,1171,61,3532
2011,Texas,Other health impairments,52293,19954,274,532,8925,49,21529,1030,52293
2011,Texas,Specific learning disabilities,172148,93181,899,1148,32816,146,41760,2198,172148
2011,Texas,Deaf-blindness,115,49,NA,NA,10,NA,51,0,115
2011,Texas,Multiple disabilities,5310,2337,22,122,811,9,1931,78,5310
2011,Texas,Autism,33103,12272,160,1568,4180,45,14146,732,33103
2011,Texas,Traumatic brain injury,1219,514,NA,NA,213,NA,451,17,1219
2011,Texas,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Texas,All disabilities,398919,190343,2059,5995,68304,402,125454,6362,398919
2011,Utah,Intellectual disabilities,3204,589,70,43,97,46,2329,30,3204
2011,Utah,Hearing impairments,531,122,8,18,8,NA,366,NA,531
2011,Utah,Speech or language impairments,13167,1748,210,179,149,142,10548,191,13167
2011,Utah,Visual impairments,194,29,0,5,NA,NA,151,NA,194
2011,Utah,Emotional disturbance,2093,246,30,17,94,16,1650,40,2093
2011,Utah,Orthopedic impairments,161,NA,NA,NA,5,NA,128,NA,161
2011,Utah,Other health impairments,5035,443,41,37,140,40,4250,84,5035
2011,Utah,Specific learning disabilities,30407,6729,744,204,591,346,21440,353,30407
2011,Utah,Deaf-blindness,28,NA,0,NA,NA,0,25,0,28
2011,Utah,Multiple disabilities,1552,223,28,16,38,17,1218,12,1552
2011,Utah,Autism,4013,323,32,56,47,27,3477,51,4013
2011,Utah,Traumatic brain injury,277,51,NA,NA,8,NA,200,5,277
2011,Utah,Developmental delay,1715,339,40,14,19,19,1263,21,1715
2011,Utah,All disabilities,62377,10863,1212,593,1200,670,47045,794,62377
2011,Vermont,Intellectual disabilities,777,NA,NA,6,25,NA,739,0,NA
2011,Vermont,Hearing impairments,98,NA,0,0,NA,0,93,0,98
2011,Vermont,Speech or language impairments,1366,NA,0,13,34,0,1306,NA,1366
2011,Vermont,Visual impairments,25,NA,0,0,NA,0,23,0,25
2011,Vermont,Emotional disturbance,1880,9,10,NA,45,NA,1806,7,NA
2011,Vermont,Orthopedic impairments,46,NA,0,NA,NA,0,43,0,NA
2011,Vermont,Other health impairments,1970,19,NA,8,55,NA,1878,6,1970
2011,Vermont,Specific learning disabilities,3969,30,NA,12,62,NA,3852,5,NA
2011,Vermont,Deaf-blindness,6,0,0,NA,NA,0,NA,0,6
2011,Vermont,Multiple disabilities,174,NA,0,NA,NA,0,161,0,NA
2011,Vermont,Autism,852,12,NA,13,18,NA,803,NA,852
2011,Vermont,Traumatic brain injury,48,0,0,0,NA,0,NA,0,48
2011,Vermont,Developmental delay,870,8,NA,6,23,0,827,NA,870
2011,Vermont,All disabilities,12081,103,23,65,273,9,11581,27,12081
2011,Virgin Islands,Intellectual disabilities,178,NA,NA,0,143,0,NA,NA,178
2011,Virgin Islands,Hearing impairments,13,NA,0,0,12,0,0,0,NA
2011,Virgin Islands,Speech or language impairments,102,10,0,0,NA,NA,NA,0,102
2011,Virgin Islands,Visual impairments,10,NA,0,0,8,0,NA,0,NA
2011,Virgin Islands,Emotional disturbance,NA,NA,0,0,NA,0,0,0,NA
2011,Virgin Islands,Orthopedic impairments,NA,0,0,0,NA,0,0,0,NA
2011,Virgin Islands,Other health impairments,124,31,0,0,NA,NA,9,NA,NA
2011,Virgin Islands,Specific learning disabilities,631,NA,NA,NA,458,NA,NA,6,631
2011,Virgin Islands,Deaf-blindness,0,0,0,0,0,0,0,0,0
2011,Virgin Islands,Multiple disabilities,38,NA,0,NA,30,NA,NA,0,NA
2011,Virgin Islands,Autism,NA,NA,0,0,54,0,NA,0,NA
2011,Virgin Islands,Traumatic brain injury,NA,NA,0,NA,NA,0,0,0,NA
2011,Virgin Islands,Developmental delay,34,NA,0,NA,27,0,0,0,34
2011,Virgin Islands,All disabilities,1249,NA,NA,NA,NA,NA,31,8,1249
2011,Virginia,Intellectual disabilities,9547,938,27,351,3889,7,4090,245,9547
2011,Virginia,Hearing impairments,1228,197,5,83,280,0,624,39,1228
2011,Virginia,Speech or language impairments,20978,2483,66,796,4721,23,11962,927,20978
2011,Virginia,Visual impairments,544,49,NA,35,125,0,318,NA,544
2011,Virginia,Emotional disturbance,9312,812,NA,132,3259,NA,4654,424,9312
2011,Virginia,Orthopedic impairments,737,84,NA,58,NA,NA,451,24,737
2011,Virginia,Other health impairments,29124,2105,124,412,8619,28,16651,1185,29124
2011,Virginia,Specific learning disabilities,55517,8542,223,1367,17557,63,25881,1884,55517
2011,Virginia,Deaf-blindness,25,NA,0,NA,NA,0,15,NA,25
2011,Virginia,Multiple disabilities,3213,267,9,109,962,6,1750,110,3213
2011,Virginia,Autism,12018,1117,40,780,2564,13,6980,524,12018
2011,Virginia,Traumatic brain injury,377,NA,0,NA,118,0,192,16,377
2011,Virginia,Developmental delay,1901,291,8,106,586,5,821,84,1901
2011,Virginia,All disabilities,144521,16925,531,4245,42801,151,74389,5479,144521
2011,Washington,Intellectual disabilities,4659,1049,177,218,363,34,2605,213,4659
2011,Washington,Hearing impairments,1141,321,33,87,59,17,573,51,1141
2011,Washington,Speech or language impairments,16816,3315,364,891,625,119,10458,1044,16816
2011,Washington,Visual impairments,346,86,NA,19,16,NA,195,NA,346
2011,Washington,Emotional disturbance,4505,518,158,72,519,18,2886,334,4505
2011,Washington,Orthopedic impairments,473,70,NA,32,25,NA,313,23,473
2011,Washington,Other health impairments,22919,2910,493,565,1452,89,15935,1475,22919
2011,Washington,Specific learning disabilities,44949,12175,1346,1380,3299,NA,23877,2497,NA
2011,Washington,Deaf-blindness,26,NA,NA,NA,0,0,18,NA,NA
2011,Washington,Multiple disabilities,2614,402,55,110,152,17,1764,114,2614
2011,Washington,Autism,8593,836,101,678,338,39,6084,517,8593
2011,Washington,Traumatic brain injury,309,NA,14,NA,28,NA,169,21,309
2011,Washington,Developmental delay,7408,1797,193,342,475,59,4014,528,7408
2011,Washington,All disabilities,114758,23548,2953,4405,7351,775,68891,6835,114758
2011,West Virginia,Intellectual disabilities,6891,50,NA,18,389,NA,6391,35,6891
2011,West Virginia,Hearing impairments,385,5,0,NA,25,NA,352,0,385
2011,West Virginia,Speech or language impairments,11075,125,NA,55,382,NA,10378,128,11075
2011,West Virginia,Visual impairments,250,NA,0,0,11,0,234,NA,250
2011,West Virginia,Emotional disturbance,1533,16,NA,NA,139,0,1345,29,1533
2011,West Virginia,Orthopedic impairments,133,NA,0,NA,NA,0,123,0,NA
2011,West Virginia,Other health impairments,5211,31,6,12,262,0,4849,51,5211
2011,West Virginia,Specific learning disabilities,11753,132,21,22,639,NA,10826,111,NA
2011,West Virginia,Deaf-blindness,NA,0,0,0,0,0,NA,0,NA
2011,West Virginia,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,West Virginia,Autism,1425,17,NA,NA,63,0,1323,NA,1425
2011,West Virginia,Traumatic brain injury,NA,NA,0,0,NA,0,NA,0,NA
2011,West Virginia,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,West Virginia,All disabilities,38771,383,43,119,1932,6,35918,370,38771
2011,Wisconsin,Intellectual disabilities,8871,871,160,252,1937,NA,5543,NA,8871
2011,Wisconsin,Hearing impairments,1492,164,NA,104,120,NA,1054,27,1492
2011,Wisconsin,Speech or language impairments,21923,2436,401,730,1900,12,16036,408,21923
2011,Wisconsin,Visual impairments,412,37,NA,14,29,0,325,NA,412
2011,Wisconsin,Emotional disturbance,12656,777,501,67,2422,5,8492,392,12656
2011,Wisconsin,Orthopedic impairments,841,74,14,26,105,0,607,15,841
2011,Wisconsin,Other health impairments,18226,1649,282,190,5009,6,10752,338,18226
2011,Wisconsin,Specific learning disabilities,34721,3907,757,840,4842,NA,23786,569,NA
2011,Wisconsin,Deaf-blindness,NA,NA,0,0,0,0,NA,0,NA
2011,Wisconsin,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,Wisconsin,Autism,8154,516,122,216,557,6,6617,120,8154
2011,Wisconsin,Traumatic brain injury,359,41,NA,NA,71,NA,217,15,NA
2011,Wisconsin,Developmental delay,NA,NA,NA,NA,13,0,NA,NA,NA
2011,Wisconsin,All disabilities,107719,10483,2269,2450,17005,55,73462,1995,107719
2011,Wyoming,Intellectual disabilities,526,63,25,NA,NA,NA,416,14,526
2011,Wyoming,Hearing impairments,151,26,NA,NA,NA,0,115,5,151
2011,Wyoming,Speech or language impairments,3087,437,119,NA,23,NA,2438,49,3087
2011,Wyoming,Visual impairments,NA,NA,NA,0,NA,0,NA,0,NA
2011,Wyoming,Emotional disturbance,717,69,19,NA,21,NA,590,14,717
2011,Wyoming,Orthopedic impairments,70,7,NA,NA,0,0,57,NA,70
2011,Wyoming,Other health impairments,1862,164,69,5,42,0,1553,29,1862
2011,Wyoming,Specific learning disabilities,4382,653,186,12,66,NA,3403,57,NA
2011,Wyoming,Deaf-blindness,NA,0,NA,0,0,0,NA,0,NA
2011,Wyoming,Multiple disabilities,194,21,12,NA,5,0,152,NA,194
2011,Wyoming,Autism,653,47,13,NA,5,NA,573,10,653
2011,Wyoming,Traumatic brain injury,67,NA,5,NA,0,0,54,NA,67
2011,Wyoming,Developmental delay,229,31,5,NA,NA,0,186,NA,NA
2011,Wyoming,All disabilities,11990,1527,463,45,173,14,9580,188,11990
